20220614T,24.30,24.30,24.30,24.30,0.00
20220615T,24.40,24.40,24.40,24.40,0.00
20220616T,24.40,24.40,24.40,24.40,0.00
20220617T,24.40,24.40,24.40,24.40,0.00
20220620T,24.40,24.40,24.40,24.40,0.00
20220621T,25.10,25.10,25.10,25.10,0.00
20220622T,24.90,24.90,24.90,24.90,0.00
20220623T,25.60,25.60,25.60,25.60,0.00
20220624T,25.65,25.65,25.65,25.65,0.00
20220627T,25.40,25.40,25.40,25.40,0.00
20220628T,25.20,25.20,25.20,25.20,0.00
20220629T,24.80,24.80,24.80,24.80,0.00
20220630T,25.10,25.10,25.10,25.10,0.00
20220701T,25.10,25.10,25.10,25.10,0.00
20220705T,25.10,25.10,25.10,25.10,0.00
20220706T,24.60,24.60,24.60,24.60,0.00
20220707T,24.60,24.60,24.60,24.60,0.00
20220708T,24.20,24.20,24.20,24.20,0.00
20220711T,24.10,24.10,24.10,24.10,0.00
20220712T,24.00,24.00,24.00,24.00,0.00
20220713T,23.85,23.85,23.85,23.85,0.00
20220714T,23.50,23.50,23.50,23.50,0.00
20220715T,23.35,23.35,23.35,23.35,0.00
20220718T,23.50,23.50,23.50,23.50,0.00
20220719T,23.40,23.40,23.40,23.40,0.00
20220720T,23.30,23.30,23.30,23.30,0.00
20220721T,23.35,23.35,23.35,23.35,0.00
20220722T,23.45,23.45,23.45,23.45,0.00
20220725T,23.85,23.85,23.85,23.85,0.00
20220726T,24.50,24.50,24.50,24.50,0.00
20220727T,24.65,24.65,24.65,24.65,0.00
20220728T,24.80,24.80,24.80,24.80,0.00
20220729T,24.85,24.85,24.85,24.85,0.00
20220801T,24.65,24.65,24.65,24.65,0.00
20220802T,24.55,24.55,24.55,24.55,0.00
20220803T,24.45,24.45,24.45,24.45,0.00
20220804T,24.45,24.45,24.45,24.45,0.00
20220805T,24.40,24.40,24.40,24.40,0.00
20220808T,24.35,24.35,24.35,24.35,0.00
20220809T,24.00,24.00,24.00,24.00,0.00
20220810T,24.00,24.00,24.00,24.00,0.00
20220811T,23.75,23.75,23.75,23.75,0.00
20220812T,23.30,23.30,23.30,23.30,0.00
20220815T,23.60,23.60,23.60,23.60,0.00
20220816T,23.85,23.85,23.85,23.85,0.00
20220817T,23.80,23.80,23.80,23.80,0.00
20220818T,23.45,23.45,23.45,23.45,0.00
20220819T,23.40,23.40,23.40,23.40,0.00
20220822T,23.45,23.45,23.45,23.45,0.00
20220823T,23.65,23.65,23.65,23.65,0.00
20220824T,24.20,24.20,24.20,24.20,0.00
20220825T,24.25,24.25,24.25,24.25,0.00
20220826T,24.55,24.55,24.55,24.55,0.00
20220829T,24.20,24.20,24.20,24.20,0.00
20220830T,24.90,24.90,24.90,24.90,0.00
20220831T,25.35,25.35,25.35,25.35,0.00
20220901T,25.10,25.10,25.10,25.10,0.00
20220902T,24.70,24.70,24.70,24.70,0.00
20220906T,24.70,24.70,24.70,24.70,0.00
20220907T,24.65,24.65,24.65,24.65,0.00
20220908T,24.65,24.65,24.65,24.65,0.00
20220909T,24.65,24.65,24.65,24.65,0.00
