20220103T,259.00,259.00,259.00,259.00,0.00
20220104T,259.00,259.00,259.00,259.00,0.00
20220105T,260.00,260.00,260.00,260.00,0.00
20220106T,260.00,260.00,260.00,260.00,0.00
20220107T,260.00,260.00,260.00,260.00,0.00
20220110T,260.00,260.00,260.00,260.00,0.00
20220111T,260.00,260.00,260.00,260.00,0.00
20220112T,260.00,260.00,260.00,260.00,0.00
20220113T,260.00,260.00,260.00,260.00,0.00
20220114T,260.00,260.00,260.00,260.00,0.00
20220118T,260.00,260.00,260.00,260.00,0.00
20220119T,260.00,260.00,260.00,260.00,0.00
20220120T,260.00,260.00,260.00,260.00,0.00
20220121T,260.00,260.00,260.00,260.00,0.00
20220124T,260.00,260.00,260.00,260.00,0.00
20220125T,260.00,260.00,260.00,260.00,0.00
20220126T,260.00,260.00,260.00,260.00,0.00
20220127T,260.00,260.00,260.00,260.00,0.00
20220128T,260.00,260.00,260.00,260.00,0.00
20220131T,260.00,260.00,260.00,260.00,0.00
20220201T,260.00,260.00,260.00,260.00,0.00
20220202T,260.00,260.00,260.00,260.00,0.00
20220203T,260.00,260.00,260.00,260.00,0.00
20220204T,260.00,260.00,260.00,260.00,0.00
20220207T,260.00,260.00,260.00,260.00,0.00
20220208T,260.00,260.00,260.00,260.00,0.00
20220209T,260.00,260.00,260.00,260.00,0.00
20220210T,260.00,260.00,260.00,260.00,0.00
20220211T,260.00,260.00,260.00,260.00,0.00
20220214T,260.00,260.00,260.00,260.00,0.00
20220215T,261.00,261.00,261.00,261.00,0.00
20220216T,261.00,261.00,261.00,261.00,0.00
20220217T,261.00,261.00,261.00,261.00,0.00
20220218T,261.00,261.00,261.00,261.00,0.00
20220222T,261.00,261.00,261.00,261.00,0.00
20220223T,262.00,262.00,262.00,262.00,0.00
20220224T,262.00,262.00,262.00,262.00,0.00
20220225T,262.00,262.00,262.00,262.00,0.00
20220228T,262.00,262.00,262.00,262.00,0.00
20220301T,262.00,262.00,262.00,262.00,0.00
20220302T,262.00,262.00,262.00,262.00,0.00
20220303T,262.00,262.00,262.00,262.00,0.00
20220304T,262.00,262.00,262.00,262.00,0.00
20220307T,262.00,262.00,262.00,262.00,0.00
20220308T,262.00,262.00,262.00,262.00,0.00
20220309T,262.00,262.00,262.00,262.00,0.00
20220310T,262.00,262.00,262.00,262.00,0.00
20220311T,262.00,262.00,262.00,262.00,0.00
20220314T,262.00,262.00,262.00,262.00,0.00
20220315T,262.00,262.00,262.00,262.00,0.00
20220316T,262.00,262.00,262.00,262.00,0.00
20220317T,262.00,262.00,262.00,262.00,0.00
20220318T,262.00,262.00,262.00,262.00,0.00
20220321T,262.00,262.00,262.00,262.00,0.00
20220322T,262.00,262.00,262.00,262.00,0.00
20220323T,262.00,262.00,262.00,262.00,0.00
20220324T,262.00,262.00,262.00,262.00,0.00
20220325T,262.00,262.00,262.00,262.00,0.00
20220328T,262.00,262.00,262.00,262.00,0.00
20220329T,262.00,262.00,262.00,262.00,0.00
20220330T,262.00,262.00,262.00,262.00,0.00
20220331T,262.00,262.00,262.00,262.00,0.00
20220401T,262.00,262.00,262.00,262.00,0.00
20220404T,262.00,262.00,262.00,262.00,0.00
20220405T,262.00,262.00,262.00,262.00,0.00
20220406T,262.00,262.00,262.00,262.00,0.00
20220407T,262.00,262.00,262.00,262.00,0.00
20220408T,262.00,262.00,262.00,262.00,0.00
20220411T,262.00,262.00,262.00,262.00,0.00
20220412T,262.00,262.00,262.00,262.00,0.00
20220413T,262.00,262.00,262.00,262.00,0.00
20220414T,262.00,262.00,262.00,262.00,0.00
20220418T,262.00,262.00,262.00,262.00,0.00
20220419T,262.00,262.00,262.00,262.00,0.00
20220420T,262.00,262.00,262.00,262.00,0.00
20220421T,262.00,262.00,262.00,262.00,0.00
20220422T,262.00,262.00,262.00,262.00,0.00
20220425T,262.00,262.00,262.00,262.00,0.00
20220426T,262.00,262.00,262.00,262.00,0.00
20220427T,261.00,261.00,261.00,261.00,0.00
20220428T,261.00,261.00,261.00,261.00,0.00
20220429T,261.00,261.00,261.00,261.00,0.00
20220502T,261.00,261.00,261.00,261.00,0.00
20220503T,261.00,261.00,261.00,261.00,0.00
20220504T,261.00,261.00,261.00,261.00,0.00
20220505T,261.00,261.00,261.00,261.00,0.00
20220506T,261.00,261.00,261.00,261.00,0.00
20220509T,261.00,261.00,261.00,261.00,0.00
20220510T,261.00,261.00,261.00,261.00,0.00
20220511T,261.00,261.00,261.00,261.00,0.00
20220512T,261.00,261.00,261.00,261.00,0.00
20220513T,262.00,262.00,262.00,262.00,0.00
20220516T,262.00,262.00,262.00,262.00,0.00
20220517T,262.00,262.00,262.00,262.00,0.00
20220518T,262.00,262.00,262.00,262.00,0.00
20220519T,262.00,262.00,262.00,262.00,0.00
20220520T,262.00,262.00,262.00,262.00,0.00
20220523T,262.00,262.00,262.00,262.00,0.00
20220524T,262.00,262.00,262.00,262.00,0.00
20220525T,262.00,262.00,262.00,262.00,0.00
20220526T,262.00,262.00,262.00,262.00,0.00
20220527T,262.00,262.00,262.00,262.00,0.00
20220531T,262.00,262.00,262.00,262.00,0.00
20220601T,262.00,262.00,262.00,262.00,0.00
20220602T,262.00,262.00,262.00,262.00,0.00
20220603T,262.00,262.00,262.00,262.00,0.00
20220606T,262.00,262.00,262.00,262.00,0.00
20220607T,262.00,262.00,262.00,262.00,0.00
20220608T,262.00,262.00,262.00,262.00,0.00
