20220614T,35.50,35.50,35.50,35.50,0.00
20220615T,35.50,35.50,35.50,35.50,0.00
20220616T,35.50,35.50,35.50,35.50,0.00
20220617T,35.50,35.50,35.50,35.50,0.00
20220620T,35.50,35.50,35.50,35.50,0.00
20220621T,35.50,35.50,35.50,35.50,0.00
20220622T,35.50,35.50,35.50,35.50,0.00
20220623T,35.50,35.50,35.50,35.50,0.00
20220624T,35.50,35.50,35.50,35.50,0.00
20220627T,35.50,35.50,35.50,35.50,0.00
20220628T,35.50,35.50,35.50,35.50,0.00
20220629T,35.50,35.50,35.50,35.50,0.00
20220630T,35.50,35.50,35.50,35.50,0.00
20220701T,35.50,35.50,35.50,35.50,0.00
20220705T,35.50,35.50,35.50,35.50,0.00
20220706T,35.50,35.50,35.50,35.50,0.00
20220707T,35.50,35.50,35.50,35.50,0.00
20220708T,35.50,35.50,35.50,35.50,0.00
20220711T,35.50,35.50,35.50,35.50,0.00
20220712T,35.50,35.50,35.50,35.50,0.00
20220713T,35.75,35.75,35.75,35.75,0.00
20220714T,35.75,35.75,35.75,35.75,0.00
20220715T,35.75,35.75,35.75,35.75,0.00
20220718T,35.75,35.75,35.75,35.75,0.00
20220719T,35.75,35.75,35.75,35.75,0.00
20220720T,35.75,35.75,35.75,35.75,0.00
20220721T,35.75,35.75,35.75,35.75,0.00
20220722T,35.50,35.50,35.50,35.50,0.00
20220725T,35.50,35.50,35.50,35.50,0.00
20220726T,35.50,35.50,35.50,35.50,0.00
20220727T,35.50,35.50,35.50,35.50,0.00
20220728T,35.50,35.50,35.50,35.50,0.00
20220729T,35.50,35.50,35.50,35.50,0.00
20220801T,35.50,35.50,35.50,35.50,0.00
20220802T,35.50,35.50,35.50,35.50,0.00
20220803T,35.50,35.50,35.50,35.50,0.00
20220804T,35.50,35.50,35.50,35.50,0.00
20220805T,35.50,35.50,35.50,35.50,0.00
20220808T,35.50,35.50,35.50,35.50,0.00
20220809T,35.50,35.50,35.50,35.50,0.00
20220810T,35.50,35.50,35.50,35.50,0.00
20220811T,35.50,35.50,35.50,35.50,0.00
20220812T,35.50,35.50,35.50,35.50,0.00
20220815T,35.50,35.50,35.50,35.50,0.00
20220816T,35.50,35.50,35.50,35.50,0.00
20220817T,35.50,35.50,35.50,35.50,0.00
20220818T,35.50,35.50,35.50,35.50,0.00
20220819T,35.50,35.50,35.50,35.50,0.00
20220822T,35.75,35.75,35.75,35.75,0.00
20220823T,35.75,35.75,35.75,35.75,0.00
20220824T,35.75,35.75,35.75,35.75,0.00
20220825T,35.75,35.75,35.75,35.75,0.00
20220826T,35.75,35.75,35.75,35.75,0.00
20220829T,35.75,35.75,35.75,35.75,0.00
20220830T,35.75,35.75,35.75,35.75,0.00
20220831T,35.75,35.75,35.75,35.75,0.00
20220901T,35.75,35.75,35.75,35.75,0.00
20220902T,35.75,35.75,35.75,35.75,0.00
20220906T,35.75,35.75,35.75,35.75,0.00
20220907T,35.75,35.75,35.75,35.75,0.00
20220908T,36.00,36.00,36.00,36.00,0.00
20220909T,36.00,36.00,36.00,36.00,0.00
20220912T,36.00,36.00,36.00,36.00,0.00
20220913T,36.50,36.50,36.50,36.50,0.00
20220914T,36.75,36.75,36.75,36.75,0.00
20220915T,36.75,36.75,36.75,36.75,0.00
20220916T,36.75,36.75,36.75,36.75,0.00
20220919T,36.75,36.75,36.75,36.75,0.00
20220920T,36.75,36.75,36.75,36.75,0.00
20220921T,36.75,36.75,36.75,36.75,0.00
20220922T,36.75,36.75,36.75,36.75,0.00
20220923T,36.75,36.75,36.75,36.75,0.00
20220926T,36.75,36.75,36.75,36.75,0.00
20220927T,37.25,37.25,37.25,37.25,0.00
20220928T,37.25,37.25,37.25,37.25,0.00
20220929T,37.25,37.25,37.25,37.25,0.00
20220930T,37.25,37.25,37.25,37.25,0.00
20221003T,37.25,37.25,37.25,37.25,0.00
20221004T,37.25,37.25,37.25,37.25,0.00
20221005T,37.25,37.25,37.25,37.25,0.00
20221006T,37.25,37.25,37.25,37.25,0.00
20221007T,37.25,37.25,37.25,37.25,0.00
20221010T,37.25,37.25,37.25,37.25,0.00
20221011T,37.25,37.25,37.25,37.25,0.00
20221012T,37.25,37.25,37.25,37.25,0.00
20221013T,37.25,37.25,37.25,37.25,0.00
20221014T,37.25,37.25,37.25,37.25,0.00
20221017T,37.25,37.25,37.25,37.25,0.00
20221018T,37.25,37.25,37.25,37.25,0.00
20221019T,37.25,37.25,37.25,37.25,0.00
20221020T,37.25,37.25,37.25,37.25,0.00
20221021T,37.25,37.25,37.25,37.25,0.00
20221024T,37.25,37.25,37.25,37.25,0.00
20221025T,37.25,37.25,37.25,37.25,0.00
20221026T,37.25,37.25,37.25,37.25,0.00
20221027T,37.25,37.25,37.25,37.25,0.00
20221028T,37.25,37.25,37.25,37.25,0.00
20221031T,37.25,37.25,37.25,37.25,0.00
20221101T,37.25,37.25,37.25,37.25,0.00
20221102T,37.25,37.25,37.25,37.25,0.00
20221103T,37.25,37.25,37.25,37.25,0.00
20221104T,37.25,37.25,37.25,37.25,0.00
20221107T,37.25,37.25,37.25,37.25,0.00
20221108T,37.25,37.25,37.25,37.25,0.00
20221109T,37.25,37.25,37.25,37.25,0.00
20221110T,37.25,37.25,37.25,37.25,0.00
20221111T,37.25,37.25,37.25,37.25,0.00
20221114T,37.25,37.25,37.25,37.25,0.00
20221115T,37.25,37.25,37.25,37.25,0.00
20221116T,37.25,37.25,37.25,37.25,0.00
20221117T,37.25,37.25,37.25,37.25,0.00
20221118T,37.25,37.25,37.25,37.25,0.00
20221121T,37.25,37.25,37.25,37.25,0.00
20221122T,37.25,37.25,37.25,37.25,0.00
20221123T,37.25,37.25,37.25,37.25,0.00
20221125T,37.25,37.25,37.25,37.25,0.00
20221128T,37.25,37.25,37.25,37.25,0.00
20221129T,37.25,37.25,37.25,37.25,0.00
20221130T,37.25,37.25,37.25,37.25,0.00
20221201T,37.25,37.25,37.25,37.25,0.00
20221202T,37.25,37.25,37.25,37.25,0.00
20221205T,37.25,37.25,37.25,37.25,0.00
20221206T,37.25,37.25,37.25,37.25,0.00
20221207T,37.50,37.50,37.50,37.50,0.00
20221208T,37.75,37.75,37.75,37.75,0.00
20221209T,37.75,37.75,37.75,37.75,0.00
20221212T,37.75,37.75,37.75,37.75,0.00
20221213T,37.75,37.75,37.75,37.75,0.00
20221214T,37.75,37.75,37.75,37.75,0.00
20221215T,37.75,37.75,37.75,37.75,0.00
20221216T,37.75,37.75,37.75,37.75,0.00
20221219T,37.75,37.75,37.75,37.75,0.00
20221220T,37.75,37.75,37.75,37.75,0.00
20221221T,37.75,37.75,37.75,37.75,0.00
20221222T,37.75,37.75,37.75,37.75,0.00
20221223T,37.75,37.75,37.75,37.75,0.00
20221227T,37.75,37.75,37.75,37.75,0.00
20221228T,37.75,37.75,37.75,37.75,0.00
20221229T,37.75,37.75,37.75,37.75,0.00
20221230T,37.75,37.75,37.75,37.75,0.00
20230103T,37.75,37.75,37.75,37.75,0.00
20230104T,37.75,37.75,37.75,37.75,0.00
20230105T,37.75,37.75,37.75,37.75,0.00
20230106T,37.75,37.75,37.75,37.75,0.00
20230109T,37.75,37.75,37.75,37.75,0.00
20230110T,37.75,37.75,37.75,37.75,0.00
20230111T,37.75,37.75,37.75,37.75,0.00
20230112T,37.75,37.75,37.75,37.75,0.00
20230113T,37.75,37.75,37.75,37.75,0.00
20230117T,37.75,37.75,37.75,37.75,0.00
20230118T,37.75,37.75,37.75,37.75,0.00
20230119T,37.75,37.75,37.75,37.75,0.00
20230120T,37.75,37.75,37.75,37.75,0.00
20230123T,37.75,37.75,37.75,37.75,0.00
20230124T,38.00,38.00,38.00,38.00,0.00
20230125T,38.00,38.00,38.00,38.00,0.00
20230126T,38.00,38.00,38.00,38.00,0.00
20230127T,38.00,38.00,38.00,38.00,0.00
20230130T,38.00,38.00,38.00,38.00,0.00
20230131T,38.00,38.00,38.00,38.00,0.00
20230201T,38.00,38.00,38.00,38.00,0.00
20230202T,38.00,38.00,38.00,38.00,0.00
20230203T,38.00,38.00,38.00,38.00,0.00
20230206T,38.00,38.00,38.00,38.00,0.00
20230207T,38.00,38.00,38.00,38.00,0.00
20230208T,38.00,38.00,38.00,38.00,0.00
20230209T,38.00,38.00,38.00,38.00,0.00
20230210T,38.00,38.00,38.00,38.00,0.00
20230213T,38.00,38.00,38.00,38.00,0.00
20230214T,38.00,38.00,38.00,38.00,0.00
20230215T,38.00,38.00,38.00,38.00,0.00
20230216T,38.00,38.00,38.00,38.00,0.00
20230217T,38.00,38.00,38.00,38.00,0.00
20230221T,38.00,38.00,38.00,38.00,0.00
20230222T,38.00,38.00,38.00,38.00,0.00
20230223T,38.00,38.00,38.00,38.00,0.00
20230224T,38.00,38.00,38.00,38.00,0.00
20230227T,38.00,38.00,38.00,38.00,0.00
20230228T,38.00,38.00,38.00,38.00,0.00
20230301T,38.00,38.00,38.00,38.00,0.00
20230302T,38.00,38.00,38.00,38.00,0.00
20230303T,38.00,38.00,38.00,38.00,0.00
20230306T,38.00,38.00,38.00,38.00,0.00
20230307T,38.00,38.00,38.00,38.00,0.00
20230308T,38.00,38.00,38.00,38.00,0.00
20230309T,38.00,38.00,38.00,38.00,0.00
20230310T,38.00,38.00,38.00,38.00,0.00
20230313T,38.00,38.00,38.00,38.00,0.00
20230314T,38.00,38.00,38.00,38.00,0.00
20230315T,38.00,38.00,38.00,38.00,0.00
20230316T,38.00,38.00,38.00,38.00,0.00
20230317T,38.00,38.00,38.00,38.00,0.00
20230320T,38.25,38.25,38.25,38.25,0.00
20230321T,38.75,38.75,38.75,38.75,0.00
20230322T,39.00,39.00,39.00,39.00,0.00
20230323T,39.00,39.00,39.00,39.00,0.00
20230324T,39.00,39.00,39.00,39.00,0.00
20230327T,39.00,39.00,39.00,39.00,0.00
20230328T,39.00,39.00,39.00,39.00,0.00
20230329T,39.00,39.00,39.00,39.00,0.00
20230330T,39.00,39.00,39.00,39.00,0.00
20230331T,39.00,39.00,39.00,39.00,0.00
20230403T,39.00,39.00,39.00,39.00,0.00
20230404T,39.25,39.25,39.25,39.25,0.00
20230405T,39.25,39.25,39.25,39.25,0.00
20230406T,39.25,39.25,39.25,39.25,0.00
20230410T,39.25,39.25,39.25,39.25,0.00
20230411T,39.25,39.25,39.25,39.25,0.00
20230412T,39.25,39.25,39.25,39.25,0.00
20230413T,39.25,39.25,39.25,39.25,0.00
